candidate,valid,score,normalized_score,bio_score,batch_mixing_score,bio_silhouette,batch_silhouette,bio_knn_accuracy,batch_knn_mixing,embedding_shape,error,runtime_s
pca,True,1.027498096358162,0.513749048179081,0.5593490679633668,0.468149028394795,0.11869813592673369,0.06370194321040995,,0.13866857855943493,"[500, 20]",,0.0432
batch_centered_pca,True,1.0700699165859162,0.5350349582929581,0.56694901378968,0.5031209027962363,0.13389802757936,-0.00624180559247271,,0.8474014231603181,"[500, 20]",,0.0527
